Sex,Age,Fare,No. of Siblings/Spouse,No. of parents/children,Passenger Class,Dependent Gender,Embark_town,Survived,Age Group
Male,22.0,7.25,1,0,Third,Man,Southampton,No,Young
Female,38.0,71.28,1,0,First,Woman,Cherbourg,Yes,Adult
Female,26.0,7.92,0,0,Third,Woman,Southampton,Yes,Young
Female,35.0,53.1,1,0,First,Woman,Southampton,Yes,Adult
Male,35.0,8.05,0,0,Third,Man,Southampton,No,Adult
Male,,8.46,0,0,Third,Man,Queenstown,No,
Male,54.0,51.86,0,0,First,Man,Southampton,No,Old
Male,2.0,21.08,3,1,Third,Child,Southampton,No,Young
Female,27.0,11.13,0,2,Third,Woman,Southampton,Yes,Adult
Female,14.0,30.07,1,0,Second,Child,Cherbourg,Yes,Young
Female,4.0,16.7,1,1,Third,Child,Southampton,Yes,Young
Female,58.0,26.55,0,0,First,Woman,Southampton,Yes,Old
Male,20.0,8.05,0,0,Third,Man,Southampton,No,Young
Male,39.0,31.28,1,5,Third,Man,Southampton,No,Adult
Female,14.0,7.85,0,0,Third,Child,Southampton,No,Young
Female,55.0,16.0,0,0,Second,Woman,Southampton,Yes,Old
Male,2.0,29.12,4,1,Third,Child,Queenstown,No,Young
Male,,13.0,0,0,Second,Man,Southampton,Yes,
Female,31.0,18.0,1,0,Third,Woman,Southampton,No,Adult
Female,,7.22,0,0,Third,Woman,Cherbourg,Yes,
Male,35.0,26.0,0,0,Second,Man,Southampton,No,Adult
Male,34.0,13.0,0,0,Second,Man,Southampton,Yes,Adult
Female,15.0,8.03,0,0,Third,Child,Queenstown,Yes,Young
Male,28.0,35.5,0,0,First,Man,Southampton,Yes,Adult
Female,8.0,21.08,3,1,Third,Child,Southampton,No,Young
Female,38.0,31.39,1,5,Third,Woman,Southampton,Yes,Adult
Male,,7.22,0,0,Third,Man,Cherbourg,No,
Male,19.0,263.0,3,2,First,Man,Southampton,No,Young
Female,,7.88,0,0,Third,Woman,Queenstown,Yes,
Male,,7.9,0,0,Third,Man,Southampton,No,
Male,40.0,27.72,0,0,First,Man,Cherbourg,No,Adult
Female,,146.52,1,0,First,Woman,Cherbourg,Yes,
Female,,7.75,0,0,Third,Woman,Queenstown,Yes,
Male,66.0,10.5,0,0,Second,Man,Southampton,No,Old
Male,28.0,82.17,1,0,First,Man,Cherbourg,No,Adult
Male,42.0,52.0,1,0,First,Man,Southampton,No,Adult
Male,,7.23,0,0,Third,Man,Cherbourg,Yes,
Male,21.0,8.05,0,0,Third,Man,Southampton,No,Young
Female,18.0,18.0,2,0,Third,Woman,Southampton,No,Young
Female,14.0,11.24,1,0,Third,Child,Cherbourg,Yes,Young
Female,40.0,9.48,1,0,Third,Woman,Southampton,No,Adult
Female,27.0,21.0,1,0,Second,Woman,Southampton,No,Adult
Male,,7.9,0,0,Third,Man,Cherbourg,No,
Female,3.0,41.58,1,2,Second,Child,Cherbourg,Yes,Young
Female,19.0,7.88,0,0,Third,Woman,Queenstown,Yes,Young
Male,,8.05,0,0,Third,Man,Southampton,No,
Male,,15.5,1,0,Third,Man,Queenstown,No,
Male,,21.68,2,0,Third,Man,Cherbourg,No,
Female,18.0,17.8,1,0,Third,Woman,Southampton,No,Young
Male,7.0,39.69,4,1,Third,Child,Southampton,No,Young
Male,21.0,7.8,0,0,Third,Man,Southampton,No,Young
Female,49.0,76.73,1,0,First,Woman,Cherbourg,Yes,Adult
Female,29.0,26.0,1,0,Second,Woman,Southampton,Yes,Adult
Male,65.0,61.98,0,1,First,Man,Cherbourg,No,Old
Male,,35.5,0,0,First,Man,Southampton,Yes,
Female,21.0,10.5,0,0,Second,Woman,Southampton,Yes,Young
Male,28.5,7.23,0,0,Third,Man,Cherbourg,No,Adult
Female,5.0,27.75,1,2,Second,Child,Southampton,Yes,Young
Male,11.0,46.9,5,2,Third,Child,Southampton,No,Young
Male,22.0,7.23,0,0,Third,Man,Cherbourg,No,Young
Female,38.0,80.0,0,0,First,Woman,,Yes,Adult
Male,45.0,83.48,1,0,First,Man,Southampton,No,Adult
Male,4.0,27.9,3,2,Third,Child,Southampton,No,Young
Male,,27.72,0,0,First,Man,Cherbourg,No,
Male,,15.25,1,1,Third,Man,Cherbourg,Yes,
Female,29.0,10.5,0,0,Second,Woman,Southampton,Yes,Adult
Male,19.0,8.16,0,0,Third,Man,Southampton,No,Young
Female,17.0,7.92,4,2,Third,Woman,Southampton,Yes,Young
Male,26.0,8.66,2,0,Third,Man,Southampton,No,Young
Male,32.0,10.5,0,0,Second,Man,Southampton,No,Adult
Female,16.0,46.9,5,2,Third,Woman,Southampton,No,Young
Male,21.0,73.5,0,0,Second,Man,Southampton,No,Young
Male,26.0,14.45,1,0,Third,Man,Cherbourg,No,Young
Male,32.0,56.5,0,0,Third,Man,Southampton,Yes,Adult
Male,25.0,7.65,0,0,Third,Man,Southampton,No,Young
Male,0.83,29.0,0,2,Second,Child,Southampton,Yes,Young
Female,30.0,12.48,0,0,Third,Woman,Southampton,Yes,Adult
Male,22.0,9.0,0,0,Third,Man,Southampton,No,Young
Male,29.0,9.5,0,0,Third,Man,Southampton,Yes,Adult
Female,,7.79,0,0,Third,Woman,Queenstown,Yes,
Male,28.0,47.1,0,0,First,Man,Southampton,No,Adult
Female,17.0,10.5,0,0,Second,Woman,Southampton,Yes,Young
Female,33.0,15.85,3,0,Third,Woman,Southampton,Yes,Adult
Male,16.0,34.38,1,3,Third,Man,Southampton,No,Young
Female,23.0,263.0,3,2,First,Woman,Southampton,Yes,Young
