id,target,day,month,duration,contactId,age,gender,job,maritalStatus,education,creditFailure,accountBalance,house,credit,contactType,numberOfContacts,daySinceLastCampaign,numberOfContactsLastCampaign,lastCampaignResult
432148809,no,27,may,166,623,30,female,worker,married,highSchool,no,-202,no,no,unknown,2,,0,unknown
432184318,no,26,oct,183,1992,42,female,manager,married,uniGraduated,no,2463,no,no,cellPhone,2,,0,unknown
432182482,no,5,jun,227,2778,26,female,services,single,highSchool,no,2158,yes,yes,landline,1,,0,unknown
432150520,no,2,jun,31,3070,34,male,unemployed,divorced,uniGraduated,yes,75,yes,no,unknown,3,,0,unknown
432145870,no,15,may,1231,6583,48,male,worker,married,secondarySchool,no,559,yes,no,unknown,2,,0,unknown
432147286,no,21,may,303,24232,37,male,technical,married,highSchool,no,5729,yes,no,unknown,3,,0,unknown
432186620,yes,23,jul,251,24594,30,female,student,single,uniGraduated,no,3026,no,no,cellPhone,1,535.0,1,failure
432166789,no,17,nov,188,26432,35,male,manager,married,uniGraduated,no,209,yes,no,cellPhone,1,,0,unknown
432146157,no,16,may,196,26559,37,male,worker,single,secondarySchool,no,117,yes,no,unknown,3,,0,unknown
432166062,no,28,aug,147,28358,40,male,technical,married,highSchool,yes,0,no,no,cellPhone,2,,0,unknown
432186286,no,17,jun,101,29450,38,female,worker,married,secondarySchool,no,1630,yes,no,cellPhone,3,94.0,19,other
432184966,no,12,jan,140,32205,85,female,retired,married,unknown,no,1934,no,no,landline,1,,0,unknown
432173955,no,6,apr,43,34914,50,female,manager,married,uniGraduated,no,101,yes,no,cellPhone,2,326.0,1,failure
432149084,no,28,may,151,37047,50,male,worker,married,secondarySchool,no,490,yes,no,unknown,3,,0,unknown
432150808,no,3,jun,21,38665,37,female,worker,married,highSchool,yes,-399,yes,yes,unknown,3,,0,unknown
432172640,yes,5,feb,917,41689,27,female,manager,single,uniGraduated,no,2648,no,no,cellPhone,1,,0,unknown
432150762,no,3,jun,68,42654,54,male,manager,single,uniGraduated,no,0,yes,no,unknown,1,,0,unknown
432150766,no,3,jun,363,45986,42,female,services,married,highSchool,no,3689,yes,no,unknown,1,,0,unknown
432174816,no,16,apr,237,48343,39,male,worker,married,highSchool,no,180,yes,no,cellPhone,1,,0,unknown
432164174,no,20,aug,156,48410,44,male,technical,single,highSchool,no,0,no,no,cellPhone,2,,0,unknown
432171427,no,2,feb,66,48809,53,male,manager,married,highSchool,no,478,yes,no,cellPhone,1,264.0,2,failure
432186037,yes,13,may,620,49718,34,male,technical,single,uniGraduated,no,2838,yes,no,cellPhone,3,,0,unknown
432168306,no,19,nov,300,53610,31,female,administrative,divorced,uniGraduated,no,-2,yes,no,cellPhone,1,,0,unknown
432164298,no,20,aug,194,54223,32,male,manager,married,uniGraduated,no,1014,no,no,cellPhone,6,,0,unknown
432164487,no,21,aug,376,57981,30,male,manager,married,uniGraduated,no,4948,no,no,cellPhone,2,,0,unknown
432148048,no,26,may,470,63323,39,male,worker,married,unknown,no,0,yes,no,unknown,1,,0,unknown
432155457,no,8,jul,133,66210,58,female,retired,married,unknown,no,-230,no,yes,cellPhone,2,,0,unknown
432166945,no,17,nov,231,66229,36,male,worker,married,highSchool,no,1392,no,yes,cellPhone,1,,0,unknown
432176737,no,4,may,124,67398,50,female,manager,married,uniGraduated,no,311,no,no,cellPhone,5,,0,unknown
432158303,no,22,jul,161,70549,26,male,services,single,highSchool,no,47,yes,no,cellPhone,1,,0,unknown
432142670,no,5,may,148,70601,32,male,technical,divorced,uniGraduated,no,2558,no,no,unknown,2,,0,unknown
432174587,no,16,apr,188,73661,36,female,worker,divorced,highSchool,no,3102,yes,no,cellPhone,1,147.0,1,failure
432155413,yes,8,jul,740,76903,33,male,entrepreneur,married,highSchool,no,-627,yes,yes,cellPhone,1,,0,unknown
432169576,no,21,nov,450,78198,49,female,houseWife,married,secondarySchool,no,249,yes,no,cellPhone,1,,0,unknown
432156461,no,11,jul,131,79496,34,male,worker,married,highSchool,yes,-745,yes,yes,cellPhone,2,,0,unknown
432157311,no,16,jul,1389,88724,34,male,worker,married,secondarySchool,no,425,yes,no,cellPhone,7,,0,unknown
432154558,no,20,jun,11,91218,30,female,manager,married,uniGraduated,no,-250,yes,no,unknown,6,,0,unknown
432186043,yes,13,may,289,94280,77,female,retired,married,secondarySchool,no,3324,no,no,cellPhone,1,91.0,5,success
432154344,no,20,jun,8,99122,43,female,worker,married,secondarySchool,no,-41,no,no,unknown,3,,0,unknown
432183158,no,11,aug,127,103654,31,female,manager,married,uniGraduated,no,199,yes,yes,cellPhone,2,461.0,4,success
432150275,no,30,may,84,103714,52,male,technical,divorced,highSchool,no,137,yes,no,unknown,3,,0,unknown
432147300,no,21,may,389,105034,31,male,technical,single,uniGraduated,no,1887,no,yes,unknown,1,,0,unknown
432165953,no,28,aug,53,105940,39,male,houseWife,married,uniGraduated,no,315,no,no,cellPhone,4,,0,unknown
432172846,no,5,feb,415,111954,37,female,worker,married,secondarySchool,no,95,yes,no,cellPhone,2,272.0,2,failure
432149019,no,28,may,210,118222,39,female,worker,divorced,highSchool,no,412,no,no,unknown,1,,0,unknown
432173798,no,31,mar,684,122903,57,female,manager,divorced,uniGraduated,no,6468,yes,no,cellPhone,4,,0,unknown
432183086,no,10,aug,1225,124977,47,male,houseWife,married,secondarySchool,no,0,no,no,cellPhone,2,,0,unknown
432153877,no,19,jun,76,126655,38,female,technical,single,highSchool,no,207,no,no,unknown,2,,0,unknown
432166892,no,17,nov,407,127037,46,male,services,divorced,highSchool,no,0,no,no,cellPhone,1,150.0,3,success
432157842,no,18,jul,247,128752,32,male,manager,married,highSchool,no,2858,yes,yes,cellPhone,5,,0,unknown
432165963,no,28,aug,16,129269,48,male,manager,married,uniGraduated,no,0,no,no,cellPhone,16,,0,unknown
432175428,no,20,apr,384,131629,45,female,worker,married,highSchool,no,-258,yes,no,landline,5,,0,unknown
432169400,no,21,nov,55,132475,50,female,selfEmployed,divorced,uniGraduated,no,1390,no,no,cellPhone,2,,0,unknown
432182558,no,9,jun,106,134910,31,male,manager,married,uniGraduated,no,242,yes,no,cellPhone,4,,0,unknown
432169828,no,21,nov,86,135238,31,male,manager,single,uniGraduated,no,307,no,no,cellPhone,2,,0,unknown
432186032,yes,12,may,360,136209,28,male,administrative,single,highSchool,no,4745,no,no,landline,1,181.0,5,success
432148537,no,27,may,518,137331,22,female,technical,single,highSchool,no,356,yes,no,unknown,2,,0,unknown
432181334,no,18,may,185,139808,35,male,selfEmployed,single,uniGraduated,no,0,yes,yes,cellPhone,1,,0,unknown
432186448,yes,8,jul,411,140510,31,female,selfEmployed,married,uniGraduated,no,2666,no,no,landline,2,148.0,9,other
432157981,no,21,jul,77,143125,33,female,unemployed,married,highSchool,no,-12,no,yes,cellPhone,2,,0,unknown
432167361,no,18,nov,92,144379,45,male,technical,married,highSchool,no,3395,yes,no,cellPhone,1,188.0,1,failure
432179708,no,13,may,166,144872,39,male,technical,married,highSchool,no,4741,yes,no,cellPhone,1,338.0,10,failure
432187527,no,15,nov,414,144879,66,female,retired,married,highSchool,no,3409,no,no,cellPhone,2,27.0,6,failure
432185449,yes,23,feb,696,147746,23,male,student,single,highSchool,no,381,no,no,cellPhone,1,189.0,2,other
432168407,no,19,nov,300,150982,54,female,selfEmployed,married,secondarySchool,no,277,yes,no,cellPhone,5,170.0,3,failure
432146877,no,20,may,638,152791,38,male,administrative,married,uniGraduated,no,4399,yes,no,unknown,2,,0,unknown
432163747,no,18,aug,64,157111,36,female,technical,single,uniGraduated,no,53,no,yes,cellPhone,7,,0,unknown
432159297,no,25,jul,174,161801,31,female,services,married,highSchool,no,395,no,no,cellPhone,3,,0,unknown
432185136,yes,28,jan,155,164079,34,male,administrative,married,uniGraduated,no,0,no,no,cellPhone,2,,0,unknown
432180770,no,15,may,18,166367,26,male,student,single,highSchool,no,2138,yes,no,cellPhone,8,371.0,1,other
432173919,yes,3,apr,117,167556,26,male,worker,single,highSchool,no,5005,no,yes,cellPhone,1,,0,unknown
432148860,no,27,may,201,170780,34,female,technical,married,highSchool,yes,-34,yes,no,unknown,5,,0,unknown
432187422,yes,21,oct,549,172176,28,male,technical,single,uniGraduated,no,11862,no,no,cellPhone,2,238.0,13,other
432160825,no,31,jul,189,173730,51,male,technical,married,uniGraduated,no,5059,yes,no,cellPhone,2,,0,unknown
432183115,no,10,aug,89,174839,26,male,student,single,highSchool,no,1608,no,no,cellPhone,2,102.0,2,success
432153661,no,18,jun,41,185525,45,female,services,single,highSchool,no,359,yes,no,unknown,8,,0,unknown
432162360,no,8,aug,93,190003,52,female,unemployed,married,highSchool,no,1639,no,no,cellPhone,1,,0,unknown
432149487,no,29,may,291,191462,43,female,technical,married,highSchool,no,310,yes,no,unknown,1,,0,unknown
432165085,no,25,aug,508,194631,33,female,manager,married,uniGraduated,no,584,yes,no,cellPhone,5,,0,unknown
432157178,no,16,jul,124,195845,45,female,technical,single,highSchool,no,-55,no,no,cellPhone,1,,0,unknown
432142734,no,6,may,501,201272,32,female,unemployed,married,highSchool,no,10,yes,no,unknown,4,,0,unknown
432164594,no,21,aug,102,201782,48,female,manager,married,uniGraduated,no,11,yes,no,cellPhone,9,,0,unknown
432167396,no,18,nov,90,202613,50,male,technical,married,highSchool,no,232,no,no,cellPhone,1,,0,unknown
432153205,no,17,jun,388,204633,47,female,technical,divorced,highSchool,no,431,no,yes,unknown,9,,0,unknown
432146155,no,16,may,326,204785,29,female,worker,single,secondarySchool,no,105,yes,no,unknown,1,,0,unknown
432181216,yes,18,may,827,206805,33,male,administrative,single,highSchool,no,1277,yes,no,cellPhone,1,,0,unknown
432160190,no,29,jul,92,208819,49,male,services,divorced,highSchool,no,933,no,yes,cellPhone,33,,0,unknown
432150203,no,30,may,170,211318,46,male,entrepreneur,married,highSchool,no,1375,yes,no,unknown,7,,0,unknown
432172435,no,4,feb,206,216144,38,male,selfEmployed,married,highSchool,no,1029,yes,no,cellPhone,3,223.0,1,other
432159654,no,28,jul,54,217039,29,male,technical,single,highSchool,no,5,yes,yes,cellPhone,2,,0,unknown
432163461,yes,14,aug,834,218639,49,male,services,married,highSchool,no,1314,no,no,cellPhone,14,,0,unknown
432162106,no,8,aug,108,220029,44,female,technical,married,highSchool,no,326,yes,no,cellPhone,2,,0,unknown
